Tree_ID,Fork_ID,Center_X,Center_Y,Ellipse_a,Ellipse_b,Ellipse_angle,Point_Count,DBH
2,0,-16.85262217,-48.92361099,0.304639928,0.145916228,2.241717703,3665,0.450556155
4,0,-16.2814968,-54.47378429,0.402943944,0.346647522,2.167671701,3735,0.749591466
5,0,-6.121449245,-53.94842592,0.068273599,0.041974497,2.540777237,510,0.110248096
7,0,-23.91850576,-52.31067142,0.097978396,0.058642278,1.372356291,277,0.156620674
8,0,-2.224365278,-56.09689806,0.183830616,0.129892302,0.997765803,2359,0.313722918
10,0,-12.59687962,-49.48069726,0.050423284,0.045421093,3.131303583,700,0.095844377
11,0,-19.10798833,-53.78325491,0.226601835,0.182459581,0.424883694,2139,0.409061416
14,0,-22.34501195,-59.00671183,0.176134361,0.092851408,2.522248326,535,0.268985769
15,0,-13.79062486,-63.3280756,0.139530543,0.104329565,0.439414283,543,0.243860108
17,0,-5.959570815,-51.30484822,0.061059234,0.028472637,2.505145964,510,0.089531872
25,0,-23.83327775,-51.96579596,0.15628743,0.075856039,1.808449043,698,0.232143469
38,0,-28.4739281,-39.52040674,0.13156866,0.112000736,3.016699446,2150,0.243569396
39,0,-15.65608908,-39.75370857,0.238507906,0.220488005,0.374384798,4533,0.458995911
40,0,-14.66541709,-37.52417655,0.077391333,0.072847595,2.39613032,1689,0.150238928
41,0,-20.7126435,-39.47812861,0.309541427,0.253282312,0.070455454,6886,0.562823739
42,0,-13.7099844,-42.18111921,0.133323084,0.063326708,2.40520809,1824,0.196649792
43,0,-20.78017998,-45.04764339,0.20391974,0.188068308,2.549606801,3601,0.391988048
44,0,-16.83011369,-47.51252103,0.107921295,0.088861559,0.436205298,1659,0.196782854
45,0,-26.981311,-45.97596591,0.078800546,0.06651343,2.414021198,896,0.145313975
46,0,-27.2002507,-47.04820783,0.081797419,0.072336123,0.075124951,687,0.154133542
49,0,11.74978826,-32.69787708,0.288928771,0.214134473,1.224092496,3067,0.503063244
50,0,16.62808547,-28.1484581,0.177450713,0.079906901,0.62435248,943,0.257357615
52,0,5.39593887,-17.73536883,0.168959544,0.153632901,0.555051055,2674,0.322592444
53,0,0.29588812,-16.73568928,0.207474358,0.155934431,0.712364055,3469,0.363408789
54,0,-0.800854837,-20.21545455,0.199815455,0.193187336,1.015109592,3172,0.393002791
55,0,0.517677929,-18.66767731,0.187748601,0.176502391,0.086742431,2809,0.364250992
57,0,4.526431248,-32.08220093,0.251403921,0.212051409,0.917215445,3798,0.46345533
58,0,4.376091492,-34.99906074,0.159116437,0.105546967,0.397628811,2042,0.264663404
62,0,-0.669698644,-7.800142443,0.184389624,0.173765423,0.591257907,3540,0.358155047
63,0,0.29902191,-11.52283082,0.096913155,0.07277287,1.062234264,1186,0.169686024
